channel_id,channel_name,uploads_playlist_id,subscriber_count
UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,UUGy7SkBjcIAgTiwkXEtPnYg,2270000
UCJZ7zr9a6AT6STkyOFztgiQ,Joshua Mayo,UUJZ7zr9a6AT6STkyOFztgiQ,728000
UCa-ckhlKL98F8YXKQ-BALiw,The Graham Stephan Show,UUa-ckhlKL98F8YXKQ-BALiw,1180000
UCui4jxDaMb53Gdh-AZUTPAg,Liam Ottley,UUui4jxDaMb53Gdh-AZUTPAg,83200
UCKtiMrNZq0gGbPTnsMu7Bsw,Ruri Ohama,UUKtiMrNZq0gGbPTnsMu7Bsw,1100000
UCQglaVhGOBI0BR5S6IJnQPg,Brian Jung,UUQglaVhGOBI0BR5S6IJnQPg,1400000
UCxgAuX3XZROujMmGphN_scA,Mark Tilbury,UUxgAuX3XZROujMmGphN_scA,1870000
UCPa0bvFsR1mbBpk5mIPFGLA,Vincent Chan,UUPa0bvFsR1mbBpk5mIPFGLA,533000
UCZAoatH4HngcEuCtOWuSX2A,Greg Gottfried,UUZAoatH4HngcEuCtOWuSX2A,535000
UCYONTR6PoZVJ4EcbOz3qdtw,Mike Vestil,UUYONTR6PoZVJ4EcbOz3qdtw,792000
UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,UUoOae5nYA7VqaXzerajD0lg,4600000
UCF2v8v8te3_u4xhIQ8tGy1g,Noah Kagan,UUF2v8v8te3_u4xhIQ8tGy1g,860000
UCG-KntY7aVnIGXYEBQvmBAQ,Thomas Frank,UUG-KntY7aVnIGXYEBQvmBAQ,2930000
UCJ24N4O0bP7LGLBDvye7oCA,Matt D'Avella,UUJ24N4O0bP7LGLBDvye7oCA,3740000
