channel_id,channel_name,uploads_playlist_id,subscriber_count
UCj2-9npOyz5mguqlCnoF9PQ,Millennial Investing,UUj2-9npOyz5mguqlCnoF9PQ,6270
UC5mwDEzm4FzXKoHPBDnuUQQ,Abbtakk,UU5mwDEzm4FzXKoHPBDnuUQQ,904000
UCzaRorDlS1gd6EROE-xGm-Q,ffreedom App - Money (Telugu),UUzaRorDlS1gd6EROE-xGm-Q,1440000
UCNV2ThRd_ubgPPuxtKjT_kQ,Money Mantra Ramakrishna,UUNV2ThRd_ubgPPuxtKjT_kQ,154000
UCqvaXJ1K3HheTPNjH-KpwXQ,Principles by Ray Dalio,UUqvaXJ1K3HheTPNjH-KpwXQ,2270000
UCaW51g-nmLfq703TPZC7Gsg,The Table With AO,UUaW51g-nmLfq703TPZC7Gsg,661000
UCix75GLz1TuiQe7e849s5pQ,Your Financial EKG™ ,UUix75GLz1TuiQe7e849s5pQ,9990
UC0k82iPThmgnkj8qeDNPwUQ,Mohitkosuno,UU0k82iPThmgnkj8qeDNPwUQ,739
UCKVsdeoHExltrWMuK0hOWmg,KTN News Kenya,UUKVsdeoHExltrWMuK0hOWmg,2670000
UCN5qpJ_OZl53SfMbVPjA6sg,Goela School of Finance LLP,UUN5qpJ_OZl53SfMbVPjA6sg,434000
UCBNdQfS-fzODmYb8Hkr4egA,"James Conole, CFP®",UUBNdQfS-fzODmYb8Hkr4egA,44100
UCrNY23RI8jZhQkDyesq2lWA,Happy2planwithDesiree,UUrNY23RI8jZhQkDyesq2lWA,25000
UC4PbK0jBBClIbh6_97OcYEQ,Tax Law Guy,UU4PbK0jBBClIbh6_97OcYEQ,2030
UC2tHVZt2H06GJgMrrkuvdzw,ffreedom app - Money (Tamil),UU2tHVZt2H06GJgMrrkuvdzw,605000
UC-7roO_wPzwdz3uN3p6k2ew,Investographer,UU-7roO_wPzwdz3uN3p6k2ew,480000
UCJcth-lOsy_7DQF1egf6wAw,Christian Soschner,UUJcth-lOsy_7DQF1egf6wAw,460
UCqW8jxh4tH1Z1sWPbkGWL4g,Akshat Shrivastava,UUqW8jxh4tH1Z1sWPbkGWL4g,1760000
UCQPbiV4Poo3X7_POJ9GC6nA,Parallel Wealth,UUQPbiV4Poo3X7_POJ9GC6nA,79800
UC_SxXJB4cVRZX5xhAvi_6Cg,Profit Playbook,UU_SxXJB4cVRZX5xhAvi_6Cg,1390
UCFmofUYwZd1Ibf_O3PF71jg,FOX 32 Chicago,UUFmofUYwZd1Ibf_O3PF71jg,209000
UCgmiKEljozCLExq1o6g_84Q,Strawberry Money🍓,UUgmiKEljozCLExq1o6g_84Q,2620
UC7nxHVhkSY_7-bVfDGE_6aA,Donnell Stidhum (Self Directed Strategies),UU7nxHVhkSY_7-bVfDGE_6aA,5570
UCzLPGYo_O5LAHAEVa0YLwOQ,Budget Treasures,UUzLPGYo_O5LAHAEVa0YLwOQ,24100
UC9a0j51xKiM3uj86cpXprkg,SSoul Potion,UU9a0j51xKiM3uj86cpXprkg,11
UCwK9tPsB6aH-vHWHzQCIenA,THE ART OF BUISNESS,UUwK9tPsB6aH-vHWHzQCIenA,17
UCRzYN32xtBf3Yxsx5BvJWJw,warikoo,UURzYN32xtBf3Yxsx5BvJWJw,3040000
UC8yH-uI81UUtEMDsowQyx1g,SABC News,UU8yH-uI81UUtEMDsowQyx1g,2020000
UCB_BoP6fbLSP8wLxhTB-puA,E-Akhbar Global,UUB_BoP6fbLSP8wLxhTB-puA,3
UC8LHgvwkmlJ0wZnUFqp63Dw,Baddies & Budgets,UU8LHgvwkmlJ0wZnUFqp63Dw,147000
UCjCZmu_rtTYdzpSPHFJVSpQ,Graham's Money Minutes,UUjCZmu_rtTYdzpSPHFJVSpQ,134
UC9C17-OMxa-7oRSaCtztObw,Rob Berger,UU9C17-OMxa-7oRSaCtztObw,129000
UC8pFXyHfzI9jTtRQDQpS3Hw,"Ari Taublieb, MBA",UU8pFXyHfzI9jTtRQDQpS3Hw,1970
UCKY1msUI1iVtnKHPaLOsiQg,Yahoo News,UUKY1msUI1iVtnKHPaLOsiQg,96700
UCK0UUsCjtMRNtS3BPh1Yc4w,ABC Action News,UUK0UUsCjtMRNtS3BPh1Yc4w,810000
UCoYDuEolAYsjQzzqe2dh1sg,Brandon Beavis Investing,UUoYDuEolAYsjQzzqe2dh1sg,207000
UC0zhz316XcA3DxXBpj012hQ,TrendLineHub,UU0zhz316XcA3DxXBpj012hQ,110
UCI_mwTKUhicNzFrhm33MzBQ,ET NOW,UUI_mwTKUhicNzFrhm33MzBQ,597000
UCdblmbvBDP3Uc8Xjt2Ygb6Q,Money Tips Made Simple,UUdblmbvBDP3Uc8Xjt2Ygb6Q,342
UC0UwV9fQHIB0zynNcXNEdkw,U.S.Department of Education Live Events & Webinars,UU0UwV9fQHIB0zynNcXNEdkw,24
UC2LqOH5veJxVXBQXX8VK05w,Mind Marvels,UU2LqOH5veJxVXBQXX8VK05w,406
UCPohbSYq4IXhv0yxiy-sT4g,Yadnya Investment Academy,UUPohbSYq4IXhv0yxiy-sT4g,753000
UC8ry6TMsZCtErARp8NoimRQ,the simple budget,UU8ry6TMsZCtErARp8NoimRQ,4200
